xcar,vcar,acar,ttccar,xped,vped,aped,ttcped,roadtype,belief
9.912822892,2.95449,-2.13711,3.355172261,7.456969133,1.43121,-0.11336,5.210255052,1,1
9.362727656,2.51276,-2.09888,3.726073185,7.169247552,1.39998,-0.15875,5.120964265,1,0.928571429
8.904811302,2.08738,-1.98326,4.266023102,6.889886902,1.35137,-0.16068,5.098445949,1,0.928571429
8.531198162,1.69442,-1.80727,5.034878107,6.63005656,1.31326,-0.10507,5.048548315,1,0.928571429
8.232773201,1.35103,-1.61255,6.093701251,6.374358581,1.29979,-0.03489,4.904144962,1,0.785714286
7.991176716,1.0469,-1.44003,7.633180548,6.113448741,1.30271,0.01461,4.692870049,1,0.5
7.808027878,0.77185,-1.27724,10.11599129,5.852015876,1.31261,0.04394,4.458305114,1,0.357142857
7.675007119,0.52415,-1.10119,14.64276852,5.584539434,1.32515,0.05471,4.214269655,1,0.214285714
7.592659212,0.31102,-0.88265,24.4121253,5.316864922,1.33221,0.07097,3.991011118,1,0
7.551120475,0.15208,-0.63229,49.65229139,5.054206927,1.35263,0.09104,3.736577576,1,0
7.536762282,0.1,-0.3868,75.36762282,4.78043276,1.37852,0.08253,3.467800801,1,0
7.534095262,0.1,-0.19516,75.34095262,4.503527971,1.40064,0.04435,3.215335826,1,0
7.527199786,0.1,-0.0799,75.27199786,4.220481205,1.41482,-0.03362,2.983051699,1,0
7.522144468,0.1,-0.01918,75.22144468,3.929825717,1.39932,-0.13578,2.808382441,1,0
7.516034044,0.1,0.00272,75.16034044,3.649094417,1.35106,-0.20404,2.700912185,1,0
7.509926952,0.1,0.00776,75.09926952,3.387548554,1.29672,-0.21387,2.612397861,1,0
7.504416434,0.1,0.01226,75.04416434,3.132827305,1.24759,-0.18705,2.511103251,1,0
7.50222455,0.1,0.01156,75.0222455,2.889072191,1.20744,-0.12872,2.392725262,1,0
7.498537359,0.1,0.01422,74.98537359,2.652411811,1.18655,-0.05452,2.235398265,1,0
7.491464379,0.1,0.01848,74.91464379,2.416856416,1.18417,0.01617,2.04097082,1,0
7.488392731,0.1,0.01126,74.88392731,2.172649867,1.19089,0.07652,1.824391729,1,0
7.477760667,0.1,-0.01418,74.77760667,1.932192099,1.20454,0.15825,1.604091271,1,0
7.47257809,0.1,-0.02891,74.7257809,1.686727039,1.238,0.26498,1.36246126,1,0
7.467900809,0.1,-0.02168,74.67900809,1.438588281,1.30612,0.37494,1.101421218,1,0
7.459472222,0.1,-0.00054,74.59472222,1.171914142,1.4151,0.40916,0.828149348,1,0
7.456155091,0.1,0.01415,74.56155091,0.869699076,1.51797,0.319,0.572935616,1,0
7.443139708,0.1,0.01226,74.43139708,0.551894483,1.57956,0.15792,0.349397606,1,0
7.4356107,0.1,0.00188,74.356107,0.226586761,1.59469,-0.01562,0.142088281,1,0
35.21124451,6.62568,-0.05076,5.314359358,5.550045891,0.66588,-0.11609,8.334904024,1,1
33.88536475,6.6225,-0.0229,5.116702869,5.418393853,0.64734,-0.00597,8.370244158,1,0.928571429
32.56161689,6.62422,-0.01782,4.915539776,5.28970925,0.65372,0.11796,8.091704782,1,0.785714286
31.23418403,6.622,-0.0356,4.716729693,5.159184655,0.69169,0.23805,7.458810529,1,0.785714286
29.90985652,6.61196,-0.05212,4.523599132,5.017724202,0.75862,0.3257,6.614278824,1,0.785714286
28.5892236,6.60107,-0.05803,4.330998399,4.858366568,0.84126,0.36065,5.775107064,1,0.785714286
27.27176819,6.59297,-0.06294,4.13649208,4.685299328,0.93054,0.33287,5.035032699,1,0.785714286
25.96024141,6.59273,-0.09791,3.937707356,4.49068589,1.01315,0.21505,4.432399832,1,0.714285714
24.64670444,6.59238,-0.23055,3.738665617,4.271210565,1.04869,0.02431,4.072901015,1,0.714285714
23.3289513,6.55716,-0.50182,3.557782835,4.055864121,1.02643,-0.15581,3.951427882,1,0.642857143
22.0184123,6.44448,-0.88811,3.416631333,3.851531769,0.96573,-0.27759,3.988207644,1,0.5
20.73522112,6.22735,-1.3024,3.329702221,3.663816707,0.88165,-0.31545,4.155636259,1,0.428571429
19.51047542,5.90826,-1.61548,3.302237108,3.501468521,0.80551,-0.27059,4.346896402,1,0.357142857
18.37257176,5.54172,-1.76001,3.315319388,3.350318184,0.75588,-0.19348,4.432341356,1,0.357142857
17.3126652,5.17907,-1.81166,3.342813516,3.20273151,0.72717,-0.12254,4.404377945,1,0.357142857
16.31497285,4.81896,-1.87084,3.385579637,3.058710677,0.71385,-0.0713,4.284808681,1,0.357142857
15.38678246,4.44316,-1.96137,3.463026868,2.912143729,0.70376,-0.03643,4.137978471,1,0.357142857
14.53348188,4.04172,-2.06517,3.595865591,2.769941804,0.69315,0.01577,3.996165049,1,0.357142857
13.76256272,3.61003,-2.1369,3.812312561,2.631974194,0.69555,0.10153,3.784018682,1,0.285714286
13.0835505,3.16456,-2.1334,4.134397989,2.492075724,0.72109,0.21067,3.455984308,1,0.285714286
12.49564094,2.72867,-2.0484,4.579388836,2.34545088,0.77257,0.32816,3.035907271,1,0.142857143
11.99216798,2.31712,-1.89361,5.175462633,2.186758015,0.85446,0.43056,2.559228068,1,0.071428571
11.56653486,1.94174,-1.6739,5.956788685,2.008925958,0.95952,0.49125,2.093678045,1,0
11.21346877,1.61781,-1.3918,6.931264348,1.805079305,1.07344,0.49243,1.681583791,1,0
10.92003269,1.35981,-1.06979,8.030557715,1.577965832,1.18164,0.43336,1.335403196,1,0
10.6719659,1.17439,-0.73915,9.087241799,1.32881678,1.26817,0.32654,1.04782228,1,0
10.45448226,1.06428,-0.44706,9.823056205,1.065966409,1.32478,0.1978,0.80463655,1,0
10.2486634,1.01039,-0.23433,10.14327478,0.791654202,1.3478,0.07144,0.587367712,1,0
10.04903253,0.99219,-0.10745,10.12813325,0.518209813,1.33894,-0.01426,0.387029899,1,0
9.846247947,0.98681,-0.05568,9.977855866,0.253332155,1.31847,-0.04003,0.192141008,1,0
9.700000484,4.88828,-2.20277,1.984338148,8.672786537,1.33499,0.10684,6.496517979,1,1
8.767244323,4.43522,-2.24007,1.976732681,8.402909225,1.3491,0.03404,6.228529557,1,1
7.926770188,3.98045,-2.23898,1.99142564,8.131152911,1.34775,-0.03157,6.03313145,1,1
7.177768096,3.52977,-2.2092,2.033494561,7.861629158,1.32981,-0.07568,5.911843916,1,1
6.515867882,3.08946,-2.1645,2.109063682,7.598844792,1.30714,-0.09163,5.813336591,1,1
5.943948955,2.66179,-2.11464,2.233064575,7.336945765,1.28044,-0.08112,5.730019184,1,1
5.458832052,2.25042,-2.08722,2.425694782,7.085507181,1.25889,-0.03199,5.62837673,1,1
5.035288264,1.82628,-2.08124,2.757128296,6.835611517,1.25413,0.041,5.450480825,1,0.857142857
4.7075287,1.39278,-1.99603,3.379951392,6.586683104,1.26754,0.12678,5.196430175,1,0.642857143
4.472978138,0.98371,-1.7863,4.547049576,6.333738123,1.30769,0.1986,4.843455347,1,0.642857143
4.317190037,0.63607,-1.47965,6.78728762,6.063698804,1.35749,0.23543,4.46684602,1,0.5
4.224110701,0.36596,-1.13471,11.54254755,5.787501652,1.41069,0.25481,4.102603444,1,0.357142857
4.172689475,0.16927,-0.79719,24.65108688,5.498927418,1.46647,0.25793,3.749771504,1,0.214285714
4.155022385,0.1,-0.48579,41.55022385,5.200201211,1.52278,0.2454,3.414939263,1,0.071428571
4.148980597,0.1,-0.2348,41.48980597,4.885726196,1.5755,0.20946,3.101063914,1,0
4.14056061,0.1,-0.06346,41.4056061,4.562208402,1.61316,0.16443,2.828118973,1,0
4.134013235,0.1,0.01878,41.34013235,4.235116366,1.6375,0.13278,2.586330605,1,0
4.130542873,0.1,0.03516,41.30542873,3.910848415,1.66382,0.11227,2.350523744,1,0
4.119825099,0.1,0.01856,41.19825099,3.576109592,1.69132,0.06604,2.114389703,1,0
4.108687404,0.1,-0.0002,41.08687404,3.230329483,1.70593,-0.02207,1.893588531,1,0
4.102524851,0.1,-0.00876,41.02524851,2.88050151,1.69445,-0.1402,1.699962531,1,0
4.099069888,0.1,-0.0073,40.99069888,2.527235915,1.64358,-0.24841,1.537640951,1,0
4.093446825,0.1,0.00069,40.93446825,2.200449452,1.56574,-0.2798,1.405373467,1,0
4.089065349,0.1,0.0086,40.89065349,1.896573167,1.49761,-0.2325,1.266399909,1,0
4.078126231,0.1,0.01244,40.78126231,1.602326404,1.45396,-0.1423,1.102042975,1,0
4.068211973,0.1,0.00136,40.68211973,1.308013844,1.43839,-0.04814,0.909359662,1,0
4.061105187,0.1,-0.02252,40.61105187,1.00930928,1.44497,0.02022,0.698498433,1,0
4.053576244,0.1,-0.04443,40.53576244,0.710248907,1.46173,0.05641,0.485896101,1,0
4.043850293,0.1,-0.05971,40.43850293,0.409919169,1.48082,0.06379,0.276819039,1,0
4.041186736,0.1,-0.07069,40.41186736,0.111348348,1.49487,0.06005,0.074486978,1,0
25.35293526,6.84881,-0.17652,3.701801518,3.048839999,1.55179,0.1215,1.964724608,1,0.714285714
23.99016396,6.78762,-0.42968,3.534399975,2.741083007,1.56824,0.14101,1.747872141,1,0.714285714
22.64103947,6.67767,-0.65972,3.390559802,2.428580002,1.60262,0.16957,1.515381065,1,0.642857143
21.31761773,6.52013,-0.84755,3.269508082,2.10481887,1.64441,0.17506,1.279984231,1,0.5
20.03179795,6.32812,-0.97566,3.165521189,1.771559374,1.68652,0.14852,1.050422986,1,0.428571429
18.7882358,6.11572,-1.04445,3.072121648,1.42768222,1.71488,0.09802,0.832526019,1,0.357142857
17.58539986,5.89446,-1.06144,2.983377589,1.08275331,1.7295,0.04617,0.626049905,1,0.357142857
16.43015752,5.67317,-1.01771,2.896115844,0.73550973,1.73285,-0.00113,0.424450893,1,0.357142857
15.31634743,5.46903,-0.92453,2.800560141,0.388695462,1.72671,-0.0398,0.225107552,1,0.214285714
14.2450539,5.29098,-0.79819,2.692328056,0.043012098,1.71223,-0.06601,0.025120514,1,0.214285714
